// This list of quantity types and units is converted to c# code by the CodeGenerator T4 template

// http://en.wikipedia.org/wiki/Units_of_measurement
// http://en.wikipedia.org/wiki/Conversion_of_units
// http://en.wikipedia.org/wiki/Quantity
// http://en.wikipedia.org/wiki/Physical_quantities
// http://en.wikipedia.org/wiki/Phenomenon
// http://en.wikipedia.org/wiki/Unit_prefix

// Length
Length,Metre,m,1
Length,Decimetre,dm,1e-1
Length,Centimetre,cm,1e-2
Length,Millimetre,mm,1e-3
Length,Kilometre,km,1e3
Length,Yard,yd,0.9144
Length,Foot,ft,0.3048
Length,Inch,in,0.0254
Length,HundredthInch,,2.54e-4
Length,Mile,mi,1609.344
Length,NauticalMile,nmi,1852
Length,Ångström,Å,1e-10
Length,AstronomicalUnit,AU,149597871464
Length,LightYear,ly,9.4607304725808e15

// Area
Area,SquareMetre,m^2,1
Area,Acre,ac,4046.8564224
Area,Hectare,ha,1e4
Area,SquareFoot,ft^2,9.290304e-2
Area,SquareMile,mi^2,2.589988110336e6
Area,SquareKilometre,km^2,1e6

// Volume
Volume,CubicMetre,m^3,1
Volume,Litre,L,1e-3
Volume,Gallon,gal,3.785411784e-3
Volume,MillionGallon,MG,3.785411784e3
Volume,CubicFoot,ft^3,2.8316846592e-2
Volume,AcreFoot,ac-ft,1233.4892384681

// Plane angle
Angle,Radian,rad,1
Angle,Degree,deg,Math.PI / 180
Angle,DegreeSymbol,°,Math.PI / 180
Angle,Grad,grad,Math.PI / 200
Angle,Gon,gon,Math.PI / 200

// Solid angle
SolidAngle,Steradian,sr,1

// Mass
Mass,Kilogram,kg,1
Mass,Gram,g,1e-3
Mass,Tonne,t,1e3
Mass,Kips,kips,453.59237
Mass,Pound,lb,0.45359237
Mass,Slug,slug,14.5939035919985
Mass,Ton,ton,1016.0469088

// Density
Density,KilogramPerCubicMetre,kg/m^3,1
Density,KilogramPerCubicDecimetre,kg/dm^3,1000
Density,GramPerCubicCentimetre,g/cm^3,1000
Density,KilogramPerLitre,kg/L,1000
Density,GramPerMillilitre,g/mL,1000
Density,PoundPerCubicFoot,lb/ft^3,16.01846337396
Density,PoundPerCubicInch,lb/in^3,27679.9047102031
Density,PoundPerGallon,lb/gal,99.7763287677

// Mass Concentration
